block,patch,corner,distance,plant_ID,sampling_round,temp,wind,cloud_cover,date,start_time,visitor_species,visitor_type,edge_type
8,C,IV,1,8.C.IV.1,1,33.4,0,30,9/8/23,2:04,0,0,edge
8,C,IV,3,8.C.IV.3,1,33.4,0,30,9/8/23,2:20,0,0,interior
8,C,II,3,8.C.II.3,1,33.4,0,30,9/8/23,2:33,0,0,interior
8,B,II,0,8.B.II.0,1,30.9,4.1,40,9/8/23,1:08,Syrphidae sp.,pollinator,edge
8,B,IV,2,8.B.IV.1-2,1,30.9,4.1,40,9/8/23,1:23,Halictidae sp.,pollinator,interior
8,B,IV,0,8.B.IV.0,1,30.9,4.1,40,9/8/23,1:38,0,0,edge
8,E,III,3,8.E.III.3RECRUIT,1,32.2,0,50,9/8/23,11:27,0,0,interior
8,E,IV,1,8.E.IV.1RECRUIT,1,32.2,0,50,9/8/23,11:57,0,0,edge
8,E,IV,0,8.E.IV.0,1,32.2,0,50,9/8/23,12:00,0,0,edge
8,D,II,1,8.D.II.1,1,26.3,3.2,60,9/8/23,10:48,0,0,edge
8,D,IV,3,8.D.IV.3,1,26.3,3.2,60,9/8/23,11:04,0,0,interior
10,E,III,0,10.E.III.0,1,29.7,0,10,9/11/23,10:02,0,0,edge
10,E,IV,1,10.E.IV.1,1,29.7,0,10,9/11/23,10:20,0,0,edge
10,E,I,0,10.E.I.0,1,29.7,0,10,9/11/23,10:35,0,0,edge
10,B,II,0,10.B.II.0,1,34.4,0,10,9/11/23,11:10,0,0,edge
10,D,IV,1,10.D.IV.1,1,33.6,0,15,9/11/23,12:33,0,0,edge
10,C,I,1,10.C.I.1,1,36,1.5,15,9/11/23,1:17,0,0,edge
53N,C,II,3,53N.C.II.3,1,29.9,3.9,0,9/12/23,11:17,0,0,interior
53N,D,II,1,53N.D.II.1,1,30.6,0,0,9/12/23,10:37,0,0,edge
53N,D,III,2,53N.D.III.2,1,30.6,0,0,9/12/23,10:54,0,0,interior
53S,B,IV,3,53S.B.IV.3,1,33.2,0,10,9/12/23,12:41,0,0,interior
53S,E,III,2,53S.E.III.2RECRUIT,1,34.1,2.4,15,9/12/23,1:50,0,0,interior
53S,C,II,3,53S.C.II.3,1,32.5,2.8,15,9/12/23,1:09,0,0,interior
52,E,IV,3,52.E.IV.3,1,27.4,3.4,30,9/13/23,10:01,0,0,interior
52,C,I,1,52.C.I.1,1,28.8,2.2,60,9/13/23,10:52,0,0,edge
54S,E,II,1,54S.E.II.1,1,26,2.7,80,9/14/23,10:29,0,0,edge
54S,B,I,0,54S.B.I.0,1,30.1,2.8,50,9/14/23,11:10,Phoebis sennae,pollinator,edge
54S,B,II,0,54S.B.II.0,1,30.1,2.8,50,9/14/23,11:23,Papilio palamedes,pollinator,edge
10,C,I,1,10.C.I.1,2,24.6,2,0,9/16/23,9:45,Thomisidae spp.,spider,edge
10,B,II,0,10.B.II.0,2,26.6,1.6,0,9/16/23,10:11,Coleoptera spp.,florivore,edge
10,B,II,0,10.B.II.0,2,26.6,1.6,0,9/16/23,10:11,Coleoptera spp.,florivore,edge
10,B,II,0,10.B.II.0,2,26.6,1.6,0,9/16/23,10:11,Halictidae sp.,pollinator,edge
10,B,II,3,10.B.II.3,2,26.6,1.6,0,9/16/23,10:28,Lerema accius,pollinator,interior
10,B,II,3,10.B.II.3,2,26.6,1.6,0,9/16/23,10:28,Coleoptera spp.,florivore,interior
10,B,II,3,10.B.II.3,2,26.6,1.6,0,9/16/23,10:28,Coleoptera spp.,florivore,interior
10,B,II,3,10.B.II.3,2,26.6,1.6,0,9/16/23,10:28,Coleoptera spp.,florivore,interior
10,B,II,3,10.B.II.3,2,26.6,1.6,0,9/16/23,10:28,Coleoptera spp.,florivore,interior
10,B,I,2,10.B.I.2,2,26.6,1.6,0,9/16/23,10:43,Coleoptera spp.,florivore,interior
10,B,I,2,10.B.I.2,2,26.6,1.6,0,9/16/23,10:43,Coleoptera spp.,florivore,interior
10,B,I,2,10.B.I.2,2,26.6,1.6,0,9/16/23,10:43,Coleoptera spp.,florivore,interior
10,B,I,0,10.B.I.0,2,26.6,1.6,0,9/16/23,10:38,0,0,edge
10,B,III,2,10.B.III.2,2,26.6,1.6,0,9/16/23,11:11,0,0,interior
10,D,I,3,10.D.I.3,2,33.3,0,40,9/16/23,12:30,Coleoptera spp.,florivore,interior
10,D,IV,1,10.D.IV.1,2,33.3,0,40,9/16/23,12:34,Coleoptera spp.,florivore,edge
10,D,IV,1,10.D.IV.1,2,33.3,0,40,9/16/23,12:34,Coleoptera spp.,florivore,edge
10,E,IV,1,10.E.IV.1,2,29.5,2.7,60,9/16/23,11:29,Coleoptera spp.,florivore,edge
10,E,IV,1,10.E.IV.1,2,29.5,2.7,60,9/16/23,11:29,Coleoptera spp.,florivore,edge
10,E,IV,1,10.E.IV.1,2,29.5,2.7,60,9/16/23,11:29,Coleoptera spp.,florivore,edge
10,E,IV,1,10.E.IV.1,2,29.5,2.7,60,9/16/23,11:29,Coleoptera spp.,florivore,edge
10,E,IV,1,10.E.IV.1,2,29.5,2.7,60,9/16/23,11:29,Coleoptera spp.,florivore,edge
10,E,IV,1,10.E.IV.1,2,29.5,2.7,60,9/16/23,11:29,Coleoptera spp.,florivore,edge
10,E,IV,1,10.E.IV.1,2,29.5,2.7,60,9/16/23,11:29,Coleoptera spp.,florivore,edge
10,E,III,0,10.E.III.0,2,29.5,2.7,60,9/16/23,11:43,Syrphidae sp.,pollinator,edge
10,E,III,0,10.E.III.0,2,29.5,2.7,60,9/16/23,11:43,Coleoptera spp.,florivore,edge
10,E,III,0,10.E.III.0,2,29.5,2.7,60,9/16/23,11:43,Coleoptera spp.,florivore,edge
10,E,III,0,10.E.III.0,2,29.5,2.7,60,9/16/23,11:43,Coleoptera spp.,florivore,edge
10,E,III,0,10.E.III.0,2,29.5,2.7,60,9/16/23,11:43,Coleoptera spp.,florivore,edge
10,E,I,0,10.E.I.0,2,29.5,2.7,60,9/16/23,11:58,0,0,edge
53S,C,II,3,53S.C.II.3,2,29.5,4.8,60,9/16/23,3:16,Coleoptera spp.,florivore,interior
53S,B,IV,3,53S.B.IV.3,2,30.3,1,70,9/16/23,3:42,0,0,interior
53S,D,III,2,53S.D.III.2,2,33.6,0,40,9/16/23,2:41,Syrphidae sp.,pollinator,interior
53S,D,III,1,53S.D.III.1,2,33.6,0,40,9/16/23,2:54,Thomisidae spp.,spider,edge
53S,D,III,1,53S.D.III.1,2,33.6,0,40,9/16/23,2:54,Thomisidae spp.,spider,edge
53S,E,III,3,53S.E.III.3,2,29.6,4.8,20,9/16/23,2:10,Phoebis sennae,pollinator,interior
53S,E,III,2,53S.E.III.2RECRUIT,2,29.6,4.8,20,9/16/23,2:21,0,0,interior
8,D,IV,3,8.D.IV.3,2,29.4,3.1,5,9/18/23,3:47,Bombyliidae spp.,pollinator,interior
8,D,IV,3,8.D.IV.3,2,29.4,3.1,5,9/18/23,3:47,Syrphidae sp.,pollinator,interior
8,D,IV,3,8.D.IV.3,2,29.4,3.1,5,9/18/23,3:47,Coleoptera spp.,florivore,interior
8,D,IV,3,8.D.IV.3,2,29.4,3.1,5,9/18/23,3:47,Coleoptera spp.,florivore,interior
8,D,II,1,8.D.II.1,2,29.4,3.1,5,9/18/23,4:01,Coleoptera spp.,florivore,edge
8,E,IV,1,8.E.IV.1RECRUIT,2,30,3.8,0,9/18/23,2:52,Coleoptera spp.,florivore,edge
8,E,IV,0,8.E.IV.0,2,30,3.8,0,9/18/23,3:03,Nastra lherminier,pollinator,edge
8,E,III,3,8.E.III.3RECRUIT,2,30,3.8,0,9/18/23,3:17,0,0,interior
8,E,III,1,8.E.III.1,2,30,3.8,0,9/18/23,3:29,Thomisidae spp.,spider,edge
8,E,III,1,8.E.III.1,2,30,3.8,0,9/18/23,3:29,Coleoptera spp.,florivore,edge
8,B,I,3,8.B.I.3,2,27.5,2.9,0,9/18/23,2:27,0,0,interior
8,B,IV,0,8.B.IV.0,2,27.5,2.9,0,9/18/23,1:26,0,0,edge
8,B,IV,0,8.B.IV.0,2,27.5,2.9,0,9/18/23,1:26,Thomisidae spp.,spider,edge
8,B,IV,0,8.B.IV.0,2,27.5,2.9,0,9/18/23,1:26,Thomisidae spp.,spider,edge
8,B,IV,0,8.B.IV.0,2,27.5,2.9,0,9/18/23,1:26,0,0,edge
8,B,IV,2,8.B.IV.1-2,2,27.5,2.9,0,9/18/23,1:42,Phoebis sennae,pollinator,interior
8,B,IV,2,8.B.IV.1-2,2,27.5,2.9,0,9/18/23,1:42,Phoebis sennae,pollinator,interior
8,B,II,1,8.B.II.1,2,27.5,2.9,0,9/18/23,1:57,Hylephila phyleus,pollinator,edge
8,B,II,1,8.B.II.1,2,27.5,2.9,0,9/18/23,1:57,0,0,edge
8,B,II,1,8.B.II.1,2,27.5,2.9,0,9/18/23,1:57,Coleoptera spp.,florivore,edge
8,B,II,1,8.B.II.1,2,27.5,2.9,0,9/18/23,1:57,Coleoptera spp.,florivore,edge
8,B,II,1,8.B.II.1,2,27.5,2.9,0,9/18/23,1:57,Coleoptera spp.,florivore,edge
8,B,II,1,8.B.II.1,2,27.5,2.9,0,9/18/23,1:57,Coleoptera spp.,florivore,edge
8,B,II,1,8.B.II.1,2,27.5,2.9,0,9/18/23,1:57,Coleoptera spp.,florivore,edge
8,B,II,1,8.B.II.1,2,27.5,2.9,0,9/18/23,1:57,Coleoptera spp.,florivore,edge
8,B,II,1,8.B.II.1,2,27.5,2.9,0,9/18/23,1:57,Thomisidae spp.,spider,edge
8,B,II,1,8.B.II.1,2,27.5,2.9,0,9/18/23,1:57,Thomisidae spp.,spider,edge
8,B,II,1,8.B.II.1,2,27.5,2.9,0,9/18/23,1:57,Thomisidae spp.,spider,edge
8,B,II,0,8.B.II.0,2,27.5,2.9,0,9/18/23,2:12,Thomisidae spp.,spider,edge
8,C,IV,3,8.C.IV.3,2,26.4,3.9,0,9/18/23,12:37,Peucetia viridans,spider,interior
8,C,IV,3,8.C.IV.3,2,26.4,3.9,0,9/18/23,12:37,Coleoptera spp.,florivore,interior
8,C,IV,3,8.C.IV.3,2,26.4,3.9,0,9/18/23,12:37,Coleoptera spp.,florivore,interior
8,C,IV,3,8.C.IV.3,2,26.4,3.9,0,9/18/23,12:37,Coleoptera spp.,florivore,interior
8,C,II,3,8.C.II.3,2,26.4,3.9,0,9/18/23,12:49,0,0,interior
8,C,I,2,8.C.I.2,2,26.4,3.9,0,9/18/23,1:02,Coleoptera spp.,florivore,interior
54S,B,II,0,54S.B.II.0,2,23.5,0,0,9/18/23,10:30,0,0,edge
54S,B,I,1,54S.B.I.0,2,23.5,0,0,9/18/23,10:46,Nastra lherminier,pollinator,edge
54S,E,II,1,54S.E.II.1,2,29,3.7,0,9/18/23,11:08,0,0,edge
54S,C,IV,0,54S.C.IV.0,2,21.8,0,0,9/18/23,9:43,Coleoptera spp.,florivore,edge
54S,C,I,3,54S.C.I.3,2,21.8,0,0,9/18/23,9:56,Coleoptera spp.,florivore,interior
54S,C,I,0,54S.C.I.0,2,21.8,0,0,9/18/23,10:09,Coleoptera spp.,florivore,edge
52,E,II,3,52.E.II.3RECRUIT,2,30.8,1.7,10,9/19/23,1:02,Coleoptera spp.,florivore,interior
52,E,IV,3,52.E.IV.3,2,30.8,1.7,10,9/19/23,1:29,0,0,interior
52,E,III,2,52.E.III.2,2,30.8,1.7,10,9/19/23,1:42,Coleoptera spp.,florivore,interior
52,D,III,3,52.D.III.3,2,32.9,1.3,15,9/19/23,2:27,0,0,interior
52,C,III,3,52.C.III.3,2,25.9,1.9,0,9/19/23,10:47,0,0,interior
52,C,I,1,52.C.I.1,2,25.9,1.9,0,9/19/23,11:28,0,0,edge
52,C,II,0,52.C.II.0,2,25.9,1.9,0,9/19/23,11:47,0,0,edge
53N,E,III,1,53N.E.III.1,2,33.7,0,5,9/20/23,1:01,0,0,edge
53N,D,III,2,53N.D.III.2,2,31.1,1.8,5,9/20/23,11:22,Peucetia viridans,spider,interior
53N,D,III,2,53N.D.III.2,2,31.1,1.8,5,9/20/23,11:22,Coleoptera spp.,florivore,interior
53N,D,III,2,53N.D.III.2,2,31.1,1.8,5,9/20/23,11:22,Coleoptera spp.,florivore,interior
53N,D,III,2,53N.D.III.2,2,31.1,1.8,5,9/20/23,11:22,Coleoptera spp.,florivore,interior
53N,D,III,2,53N.D.III.2,2,31.1,1.8,5,9/20/23,11:22,Coleoptera spp.,florivore,interior
53N,D,IV,3,53N.D.IV.3,2,31.1,1.8,5,9/20/23,11:58,0,0,interior
53N,D,II,1,53N.D.II.1,2,31.1,1.8,5,9/20/23,12:17,0,0,edge
53N,C,I,3,53N.C.I.3,2,28.8,0,5,9/20/23,10:45,Syrphidae sp.,pollinator,interior
53N,C,II,3,53N.C.II.3,2,28.8,0,5,9/20/23,11:05,Acrididea spp.,florivore,interior
57,C,III,1,57.C.III.1,2,27.3,0,20,9/20/23,9:38,0,0,edge
53S,E,III,3,53S.E.III.3,3,31.3,1.1,10,9/22/23,11:34,Phoebis sennae,pollinator,interior
53S,E,III,3,53S.E.III.3,3,31.3,1.1,10,9/22/23,11:34,Acrididea spp.,florivore,interior
53S,E,III,2,53S.E.III.2RECRUIT,3,31.3,1.1,10,9/22/23,11:48,0,0,interior
53S,C,IV,2,53S.C.IV.2,3,25.8,5.8,0,9/22/23,10:37,Coleoptera spp.,florivore,interior
53S,C,II,3,53S.C.II.3,3,25.8,5.8,0,9/22/23,10:51,Coleoptera spp.,florivore,interior
53S,C,II,3,53S.C.II.3,3,25.8,5.8,0,9/22/23,10:51,Thomisidae spp.,spider,interior
53S,B,IV,3,53S.B.IV.3,3,27.8,4.1,10,9/22/23,11:12,Thorybes bathyllus,pollinator,interior
53S,D,III,0,53S.D.III.0,3,22.2,2.5,0,9/22/23,9:54,0,0,edge
53S,D,III,1,53S.D.III.1,3,22.2,2.5,0,9/22/23,10:05,Coleoptera spp.,florivore,edge
53S,D,III,1,53S.D.III.1,3,22.2,2.5,0,9/22/23,10:05,Coleoptera spp.,florivore,edge
53S,D,III,1,53S.D.III.1,3,22.2,2.5,0,9/22/23,10:05,Coleoptera spp.,florivore,edge
53S,D,III,1,53S.D.III.1,3,22.2,2.5,0,9/22/23,10:05,Coleoptera spp.,florivore,edge
53S,D,III,1,53S.D.III.1,3,22.2,2.5,0,9/22/23,10:05,Coleoptera spp.,florivore,edge
53S,D,III,2,53S.D.III.2,3,22.2,2.5,0,9/22/23,10:16,Coleoptera spp.,florivore,interior
10,D,I,3,10.D.I.3,3,32,3.3,30,9/22/23,3:43,0,0,interior
10,D,I,2,10.D.I.2,3,32,3.3,30,9/22/23,3:55,Coleoptera spp.,florivore,interior
10,D,IV,1,10.D.IV.1,3,32,3.3,30,9/22/23,4:10,Coleoptera spp.,florivore,edge
10,D,IV,1,10.D.IV.1,3,32,3.3,30,9/22/23,4:10,Coleoptera spp.,florivore,edge
10,D,IV,1,10.D.IV.1,3,32,3.3,30,9/22/23,4:10,Coleoptera spp.,florivore,edge
10,D,IV,1,10.D.IV.1,3,32,3.3,30,9/22/23,4:10,Coleoptera spp.,florivore,edge
10,D,IV,1,10.D.IV.1,3,32,3.3,30,9/22/23,4:10,Coleoptera spp.,florivore,edge
10,D,IV,1,10.D.IV.1,3,32,3.3,30,9/22/23,4:10,Coleoptera spp.,florivore,edge
10,D,IV,1,10.D.IV.1,3,32,3.3,30,9/22/23,4:10,Coleoptera spp.,florivore,edge
10,D,IV,1,10.D.IV.1,3,32,3.3,30,9/22/23,4:10,Coleoptera spp.,florivore,edge
10,D,IV,1,10.D.IV.1,3,32,3.3,30,9/22/23,4:10,Thomisidae spp.,spider,edge
10,E,IV,1,10.E.IV.1,3,31.6,0,30,9/22/23,3:05,Coleoptera spp.,florivore,edge
10,E,IV,1,10.E.IV.1,3,31.6,0,30,9/22/23,3:05,Coleoptera spp.,florivore,edge
10,E,IV,1,10.E.IV.1,3,31.6,0,30,9/22/23,3:05,Thomisidae spp.,spider,edge
10,E,III,0,10.E.III.0,3,31.6,0,30,9/22/23,3:14,Coleoptera spp.,florivore,edge
10,E,III,0,10.E.III.0,3,31.6,0,30,9/22/23,3:14,Coleoptera spp.,florivore,edge
10,E,III,0,10.E.III.0,3,31.6,0,30,9/22/23,3:14,Coleoptera spp.,florivore,edge
10,E,III,0,10.E.III.0,3,31.6,0,30,9/22/23,3:14,Coleoptera spp.,florivore,edge
10,E,III,0,10.E.III.0,3,31.6,0,30,9/22/23,3:14,Coleoptera spp.,florivore,edge
10,E,III,0,10.E.III.0,3,31.6,0,30,9/22/23,3:14,Coleoptera spp.,florivore,edge
10,E,III,0,10.E.III.0,3,31.6,0,30,9/22/23,3:14,Coleoptera spp.,florivore,edge
10,E,III,0,10.E.III.0,3,31.6,0,30,9/22/23,3:14,Coleoptera spp.,florivore,edge
10,E,III,0,10.E.III.0,3,31.6,0,30,9/22/23,3:14,Coleoptera spp.,florivore,edge
10,E,III,0,10.E.III.0,3,31.6,0,30,9/22/23,3:14,Thomisidae spp.,spider,edge
10,E,III,0,10.E.III.0,3,31.6,0,30,9/22/23,3:14,Apoidea spp.,pollinator,edge
10,C,I,1,10.C.I.1,3,30.7,1.5,20,9/22/23,2:39,Coleoptera spp.,florivore,edge
10,C,I,1,10.C.I.1,3,30.7,1.5,20,9/22/23,2:39,Coleoptera spp.,florivore,edge
10,C,I,1,10.C.I.1,3,30.7,1.5,20,9/22/23,2:39,0,0,edge
10,C,I,1,10.C.I.1,3,30.7,1.5,20,9/22/23,2:39,0,0,edge
10,B,III,2,10.B.III.2,3,28.3,2.6,15,9/22/23,2:04,Thomisidae spp.,spider,interior
10,B,III,2,10.B.III.2,3,28.3,2.6,15,9/22/23,2:04,Eurema lisa,pollinator,interior
10,B,III,0,10.B.III.0,3,28.3,2.6,15,9/22/23,2:16,Thomisidae spp.,spider,edge
10,B,II,3,10.B.II.3,3,28.3,2.6,15,9/22/23,1:02,Coleoptera spp.,florivore,interior
10,B,II,3,10.B.II.3,3,28.3,2.6,15,9/22/23,1:02,Coleoptera spp.,florivore,interior
10,B,II,3,10.B.II.3,3,28.3,2.6,15,9/22/23,1:02,Coleoptera spp.,florivore,interior
10,B,II,3,10.B.II.3,3,28.3,2.6,15,9/22/23,1:02,Coleoptera spp.,florivore,interior
10,B,II,3,10.B.II.3,3,28.3,2.6,15,9/22/23,1:02,Coleoptera spp.,florivore,interior
10,B,II,3,10.B.II.3,3,28.3,2.6,15,9/22/23,1:02,Coleoptera spp.,florivore,interior
10,B,II,3,10.B.II.3,3,28.3,2.6,15,9/22/23,1:02,Syrphidae sp.,pollinator,interior
10,B,II,3,10.B.II.3,3,28.3,2.6,15,9/22/23,1:02,Thomisidae spp.,spider,interior
10,B,II,0,10.B.II.0,3,28.3,2.6,15,9/22/23,1:18,Coleoptera spp.,florivore,edge
10,B,II,0,10.B.II.0,3,28.3,2.6,15,9/22/23,1:18,Coleoptera spp.,florivore,edge
10,B,I,2,10.B.I.2,3,28.3,2.6,15,9/22/23,1:34,Coleoptera spp.,florivore,interior
10,B,I,2,10.B.I.2,3,28.3,2.6,15,9/22/23,1:34,Coleoptera spp.,florivore,interior
10,B,I,2,10.B.I.2,3,28.3,2.6,15,9/22/23,1:34,Coleoptera spp.,florivore,interior
10,B,I,2,10.B.I.2,3,28.3,2.6,15,9/22/23,1:34,Coleoptera spp.,florivore,interior
10,B,I,0,10.B.I.0,3,28.3,2.6,15,9/22/23,1:48,Apoidea spp.,pollinator,edge
10,B,I,0,10.B.I.0,3,28.3,2.6,15,9/22/23,1:48,Halictidae sp.,pollinator,edge
8,C,IV,3,8.C.IV.3,3,30.6,2.2,0,9/22/23,1:12,Polites vibex,pollinator,interior
8,C,IV,3,8.C.IV.3,3,30.6,2.2,0,9/22/23,1:12,Coleoptera spp.,florivore,interior
8,C,II,3,8.C.II.3,3,30.6,2.2,0,9/22/23,1:29,0,0,interior
8,E,III,1,8.E.III.1,3,27.7,1.6,20,9/23/23,12:18,0,0,edge
8,E,III,3,8.E.III.3RECRUIT,3,27.7,1.6,20,9/23/23,12:30,Acrididea spp.,florivore,interior
8,E,IV,1,8.E.IV.1RECRUIT,3,27.7,1.6,20,9/23/23,12:43,0,0,edge
8,E,IV,0,8.E.IV.0,3,27.7,1.6,20,9/23/23,12:53,Thomisidae spp.,spider,edge
8,D,I,1,8.D.I.1,3,24.1,2.6,5,9/23/23,9:54,Coleoptera spp.,florivore,edge
8,D,II,1,8.D.II.1,3,24.1,2.6,5,9/23/23,10:07,Coleoptera spp.,florivore,edge
