block,patch,corner,distance,plant_ID,seed_head,collection_date,count_date,viable,nonviable,no_predation
52,B,I,2,52.B.I.1-2,A,10/10/23,1/18/24,0,22,3
52,C,II,2,52.C.II.2,C,10/10/23,1/18/24,0,27,0
52,C,II,1,52.C.II.1,C,10/10/23,1/18/24,0,20,1
52,C,II,1,52.C.II.1,B,10/10/23,1/18/24,0,11,0
52,C,II,1,52.C.II.1,A,10/10/23,1/18/24,0,5,0
52,C,II,2,52.C.II.2,A,10/10/23,1/18/24,0,24,1
52,C,II,0,52.C.II.0,A,10/10/23,1/18/24,0,14,0
52,D,III,3,52.D.III.3,B,10/26/23,1/18/24,0,23,2
52,B,I,1,52.B.I.1,C,10/26/23,1/18/24,0,24,1
52,D,III,3,52.D.III.3,C,10/26/23,1/18/24,1,27,7
52,B,I,2,52.B.I.1-2,C,10/26/23,1/18/24,0,15,2
52,E,III,3,52.E.III.3,C,10/26/23,1/18/24,1,12,2
52,E,III,3,52.E.III.3,B,10/26/23,1/18/24,0,9,3
52,C,II,0,52.C.II.0,C,10/26/23,1/19/24,2,13,0
52,C,I,1,52.C.I.1,B,9/29/23,1/19/24,0,10,6
52,C,I,1,52.C.I.1,A,9/29/23,1/19/24,0,27,2
52,D,III,3,52.D.III.3,A,9/30/23,1/19/24,0,19,7
52,E,IV,3,52.E.IV.3,A,9/30/23,1/19/24,4,10,2
52,E,III,2,52.E.III.2,A,9/30/23,1/19/24,0,16,1
52,C,III,3,52.C.III.3,B,10/10/23,1/19/24,0,21,0
52,C,III,3,52.C.III.3,C,10/10/23,1/19/24,0,19,3
52,C,I,1,52.C.I.1,C,10/10/23,1/19/24,2,4,2
52,C,I,3,52.C.I.3,B,10/10/23,1/19/24,0,13,0
52,C,I,3,52.C.I.3,A,10/10/23,1/19/24,0,21,0
52,C,IV,3,52.C.IV.3,C,10/10/23,1/19/24,1,22,0
52,C,IV,3,52.C.IV.3,A,10/10/23,1/19/24,0,28,0
52,C,IV,3,52.C.IV.3,B,10/10/23,1/19/24,0,28,0
52,C,III,3,52.C.III.3,A,10/10/23,1/19/24,0,23,0
52,C,IV,2,52.B.IV.2,A,10/10/23,1/19/24,0,19,3
52,C,II,0,52.C.II.0,B,10/10/23,1/19/24,0,4,2
52,E,III,3,52.E.III.3,A,10/10/23,1/19/24,0,7,3
52,E,II,3,52.E.II.3RECRUIT,C,10/10/23,1/19/24,0,19,1
52,E,II,3,52.E.II.3RECRUIT,B,10/10/23,1/19/24,0,25,1
52,E,II,3,52.E.II.3RECRUIT,A,10/10/23,1/19/24,0,21,3
52,E,I,0,52.E.I.0,A,10/10/23,1/19/24,0,26,3
52,E,I,0,52.E.I.0,B,10/10/23,1/19/24,0,14,3
52,E,I,0,52.E.I.0,C,10/10/23,1/19/24,0,7,1
52,E,IV,3,52.E.IV.3,C,10/10/23,1/19/24,0,13,1
52,E,III,2,52.E.III.2,C,10/10/23,1/19/24,0,17,4
52,E,III,2,52.E.III.2,B,10/10/23,1/19/24,0,16,5
52,B,IV,2,52.B.IV.2,B,10/10/23,1/19/24,0,19,3
52,C,I,3,52.C.I.3,C,10/10/23,1/19/24,0,15,2
52,C,II,2,52.C.II.2,B,10/10/23,1/19/24,0,24,0
52,B,I,1,52.B.I.1,A,10/10/23,1/19/24,0,23,0
52,B,IV,2,52.B.IV.2,C,10/10/23,1/19/24,0,11,2
52,B,I,1,52.B.I.1,B,10/10/23,1/19/24,0,9,5
52,B,I,2,52.B.I.1-2,B,10/10/23,1/19/24,0,16,5
57,B,II,1,57.B.II.1,A,10/9/23,1/19/24,0,25,1
57,C,III,1,57.C.III.1,B,10/9/23,1/19/24,0,11,3
57,C,III,1,57.C.III.1,A,10/9/23,1/19/24,0,8,5
57,C,III,1,57.C.III.1,C,10/9/23,1/19/24,0,6,6
57,E,I,0,57.E.I.0,A,10/9/23,1/19/24,0,18,6
57,E,I,0,57.E.I.0,B,10/9/23,1/19/24,0,5,1
57,B,II,1,57.B.II.1,B,10/26/23,1/19/24,3,27,0
53N,D,II,1,53N.D.II.1,A,10/9/23,1/21/24,0,9,5
53N,D,II,1,53N.D.II.1,B,10/9/23,1/21/24,0,15,0
53N,D,III,2,53N.D.III.2,B,10/9/23,1/21/24,0,16,1
53N,D,III,2,53N.D.III.2,C,10/9/23,1/21/24,4,13,2
53N,E,III,1,53N.E.III.1,A,10/9/23,1/21/24,0,17,4
53N,E,II,1,53N.E.II.1,B,10/9/23,1/21/24,0,14,2
53N,B,III,0,53N.B.III.0,B,10/9/23,1/21/24,0,15,1
53N,B,III,0,53N.B.III.0,C,10/9/23,1/21/24,0,5,4
53N,B,III,0,53N.B.III.0,A,10/9/23,1/21/24,0,14,4
53N,C,III,2,53N.C.III.2,A,10/9/23,1/21/24,0,9,3
53N,C,III,2,53N.C.III.2,B,10/9/23,1/21/24,0,16,4
53N,C,I,3,53N.C.I.3,C,9/29/23,1/21/24,0,18,1
53N,C,III,2,53N.C.III.2,C,10/9/23,1/21/24,0,22,0
53N,C,II,3,53N.C.II.3,B,10/9/23,1/21/24,0,9,6
53N,C,II,3,53N.C.II.3,C,10/9/23,1/21/24,0,14,5
53N,E,II,1,53N.E.II.1,C,10/26/23,1/21/24,0,22,0
53N,E,II,1,53N.E.II.1,B,10/26/23,1/21/24,0,16,2
53N,E,III,1,53N.E.III.1,C,10/26/23,1/21/24,6,17,0
53N,D,II,2,53N.D.II.1,C,10/26/23,1/21/24,0,10,3
53N,E,III,1,53N.E.III.1,A,9/29/23,1/21/24,0,21,0
53N,C,II,3,53N.C.II.3,A,9/29/23,1/21/24,2,18,1
53N,C,I,3,53N.C.I.3,A,9/29/23,1/21/24,0,25,1
53N,C,I,3,53N.C.I.3,B,9/29/23,1/21/24,0,25,0
53S,E,III,3,53S.E.III.3,A,10/5/23,1/22/24,0,14,2
53S,E,III,3,53S.E.III.3,C,10/5/23,1/22/24,1,19,0
53S,E,III,3,53S.E.III.3,B,10/5/23,1/22/24,2,16,1
53S,D,II,2,53S.D.II.~14m,A,10/5/23,1/22/24,2,21,1
53S,D,III,2,53S.D.III.2,B,10/5/23,1/22/24,0,6,2
53S,D,III,2,53S.D.III.2,C,10/5/23,1/22/24,0,12,1
53S,D,III,1,53S.D.III.1,A,10/5/23,1/22/24,0,8,2
53S,D,II,1,53S.D.II.1,B,10/5/23,1/22/24,0,20,0
53S,D,II,1,53S.D.II.1,C,10/5/23,1/22/24,1,28,0
53S,D,II,1,53S.D.II.1,A,10/5/23,1/22/24,1,21,4
53S,D,III,0,53S.D.III.0,A,10/5/23,1/24/24,0,12,5
53S,D,III,1,53S.D.III.1,B,10/5/23,1/24/24,0,19,4
53S,B,IV,3,53S.B.IV.3,A,10/5/23,1/24/24,0,26,1
53S,C,II,0,53S.C.II.0,B,10/26/23,1/24/24,1,4,0
53S,C,II,0,53S.C.II.0,C,10/26/23,1/24/24,0,8,1
53S,C,II,0,53S.C.II.0,A,10/26/23,1/24/24,0,20,1
53S,C,II,3,53S.C.II.3,B,10/26/23,1/24/24,2,25,0
53S,C,II,3,53S.C.II.3,C,10/26/23,1/24/24,2,23,0
53S,C,IV,2,53S.C.IV.2,C,10/26/23,1/24/24,0,15,1
53S,B,IV,3,53S.B.IV.3,C,10/11/23,1/26/24,0,29,1
53S,B,IV,3,53S.B.IV.3,B,10/11/23,1/26/24,0,29,0
53S,E,III,2,53S.E.III.2RECRUIT,A,10/11/23,1/26/24,0,20,2
53S,E,III,2,53S.E.III.2RECRUIT,B,10/11/23,1/26/24,0,10,0
53S,E,III,2,53S.E.III.2RECRUIT,C,10/11/23,1/26/24,0,20,3
53S,D,II,2,53S.D.II.~14m,B,10/11/23,1/26/24,1,18,0
53S,D,II,2,53S.D.II.~14m,C,10/11/23,1/26/24,0,22,2
53S,D,III,1,53S.D.III.1,C,10/11/23,1/26/24,0,19,3
53S,D,III,0,53S.D.III.0,C,10/11/23,1/26/24,2,19,0
53S,D,III,0,53S.D.III.0,B,10/11/23,1/26/24,1,19,1
53S,C,II,3,53S.C.II.3,A,10/11/23,1/26/24,0,26,0
53S,C,IV,2,53S.C.IV.2,B,10/11/23,1/26/24,0,8,0
53S,C,IV,2,53S.C.IV.2,A,10/11/23,1/26/24,0,24,0
53S,D,III,2,53S.D.III.2,A,9/28/23,1/26/24,1,19,0
54S,C,IV,1,54S.C.IV.1,C,10/9/23,1/29/24,11,9,0
54S,C,IV,1,54S.C.IV.1,A,10/9/23,1/29/24,0,16,5
54S,C,IV,0,54S.C.IV.0,A,10/9/23,1/29/24,0,22,2
54S,C,IV,1,54S.C.IV.1,B,10/9/23,1/29/24,0,12,5
54S,C,IV,0,54S.C.IV.0,B,10/9/23,1/29/24,0,16,1
54S,C,IV,0,54S.C.IV.0,C,10/9/23,1/29/24,0,22,2
54S,C,IV,2,54S.C.IV.2,B,10/9/23,1/29/24,0,18,4
54S,C,IV,2,54S.C.IV.2,C,10/9/23,1/29/24,0,23,0
54S,C,IV,2,54S.C.IV.2,A,10/9/23,1/29/24,0,15,2
54S,B,I,0,54S.B.I.0,C,10/9/23,1/29/24,3,16,1
54S,D,II,2,54S.D.II.2,A,10/9/23,1/29/24,0,21,2
54S,D,II,2,54S.D.II.2,B,10/9/23,1/29/24,0,11,2
54S,C,I,0,54S.C.I.0,A,10/9/23,1/30/24,0,13,2
54S,B,III,1,54S.B.III.1,A,10/9/23,1/30/24,0,5,3
54S,B,I,0,54S.B.I.0,A,10/9/23,1/30/24,0,14,4
54S,B,II,0,54S.B.II.0,C,10/9/23,1/30/24,0,18,5
54S,C,I,3,54S.C.I.3,A,10/9/23,1/30/24,1,28,0
54S,C,I,3,54S.C.I.3,C,10/9/23,1/30/24,0,25,5
54S,B,II,3,54S.B.II.3,A,10/9/23,1/30/24,1,24,0
54S,C,I,3,54S.C.I.3,B,10/9/23,1/30/24,0,22,5
54S,C,I,1,54S.C.I.1,A,10/9/23,1/30/24,0,3,5
54S,C,I,1,54S.C.I.1,B,10/9/23,1/30/24,0,8,3
54S,B,I,0,54S.B.I.0,B,10/9/23,1/30/24,0,11,3
54S,B,II,3,54S.B.II.3,C,10/9/23,1/30/24,1,20,0
54S,B,II,3,54S.B.II.3,B,10/9/23,1/30/24,0,23,2
54S,C,I,0,54S.C.I.0,B,10/19/23,2/9/24,1,12,4
54S,D,II,2,54S.D.II.2,C,10/19/23,2/9/24,0,11,2
54S,D,III,0,54S.D.III.0,A,10/19/23,2/9/24,0,16,0
54S,D,III,0,54S.D.III.0,C,10/19/23,2/9/24,0,16,3
54S,D,III,0,54S.D.III.0,B,10/19/23,2/9/24,0,16,0
54S,C,II,1,54S.C.II.1RECRUIT,C,10/19/23,2/9/24,1,11,4
54S,C,II,1,54S.C.II.1RECRUIT,A,10/19/23,2/9/24,0,21,3
54S,B,III,1,54S.B.III.1,B,10/19/23,2/9/24,0,9,4
54S,C,II,1,54S.C.II.1RECRUIT,C,10/19/23,2/9/24,0,10,5
54S,B,II,0,54S.B.II.0,A,10/1/23,2/13/24,0,31,0
54S,B,II,0,54S.B.II.0,B,10/1/23,2/13/24,0,26,5
54S,E,II,0,54S.E.II.0,B,10/19/23,2/13/24,1,12,2
54S,E,II,1,54S.E.II.1,B,10/19/23,2/13/24,2,22,0
54S,E,II,0,54S.E.II.0,A,10/19/23,2/13/24,0,24,0
54S,E,II,0,54S.E.II.0,C,10/19/23,2/13/24,0,24,0
54S,E,II,1,54S.E.II.1,A,10/19/23,2/13/24,3,25,0
54S,B,III,1,54S.B.III.1,C,10/19/23,2/13/24,0,18,3
54S,E,II,1,54S.E.II.1,C,10/19/23,2/13/24,0,30,0
54S,C,I,0,54S.C.I.0,C,10/19/23,2/13/24,4,12,3
8,D,I,1,8.D.I.1,B,10/20/23,2/13/24,8,16,0
8,B,II,0,8.B.II.0,B,9/29/23,2/13/24,0,23,1
8,B,II,0,8.B.II.0,A,9/29/23,2/13/24,0,21,2
8,E,III,3,8.E.III.3RECRUIT,A,9/28/23,2/13/24,0,12,0
8,B,II,0,8.B.II.0,A,10/6/23,2/13/24,0,23,0
8,B,IV,0,8.B.IV.0,C,10/20/23,2/14/24,3,12,0
8,C,IV,1,8.C.IV.1,B,10/20/23,2/14/24,1,13,4
8,C,IV,1,8.C.IV.1,C,10/20/23,2/14/24,0,4,6
8,C,II,3,8.C.II.3,B,10/20/23,2/14/24,1,10,0
8,C,II,3,8.C.II.3,C,10/20/23,2/14/24,2,11,0
8,C,III,3,8.C.III.3,A,10/20/23,2/14/24,0,7,3
8,C,III,3,8.C.III.3,B,10/20/23,2/14/24,2,5,0
8,E,III,3,8.E.III.3RECRUIT,B,9/28/23,2/14/24,0,16,0
8,C,I,2,8.C.I.2,A,9/29/23,2/14/24,0,25,0
8,C,I,2,8.C.I.2,B,9/29/23,2/14/24,0,21,0
8,C,I,2,8.C.I.2,C,9/29/23,2/14/24,0,5,4
8,E,III,1,8.E.III.1,A,9/29/23,2/14/24,0,21,0
8,E,III,1,8.E.III.1,B,9/29/23,2/14/24,0,18,0
8,E,IV,0,8.E.IV.0,A,9/29/23,2/14/24,1,14,1
8,C,IV,1,8.C.IV.1,A,9/29/23,2/14/24,0,16,0
8,C,IV,3,8.C.IV.3,A,9/29/23,2/14/24,0,20,2
8,C,II,3,8.C.II.3,A,9/29/23,2/14/24,0,14,5
8,E,IV,1,8.E.IV.1RECRUIT,A,9/28/23,2/14/24,0,23,0
8,E,IV,1,8.E.IV.1RECRUIT,B,9/28/23,2/14/24,0,3,4
8,D,IV,3,8.D.IV.3,B,10/20/23,2/14/24,8,13,0
8,E,III,3,8.E.III.3RECRUIT,C,10/6/23,2/14/24,0,16,0
8,E,III,1,8.E.III.1,C,10/6/23,2/14/24,0,16,0
8,E,IV,0,8.E.IV.0,C,NA,2/14/24,0,10,3
8,B,IV,2,8.B.IV.1-2,A,10/6/23,2/14/24,0,18,3
8,B,I,3,8.B.I.3,B,10/6/23,2/14/24,0,11,0
8,B,IV,0,8.B.IV.0,A,10/6/23,2/14/24,1,14,0
8,C,IV,3,8.C.IV.3,B,10/6/23,2/14/24,4,15,0
8,C,IV,3,8.C.IV.3,C,10/6/23,2/29/24,0,20,0
8,B,I,3,8.B.I.3,A,10/6/23,2/29/24,0,18,0
8,B,II,1,8.B.II.1,A,10/6/23,2/29/24,0,26,3
8,D,I,1,8.D.I.1,A,10/6/23,2/29/24,2,16,2
8,C,III,3,8.C.III.3,A,10/6/23,2/29/24,0,17,0
8,B,I,3,8.B.I.3,C,10/6/23,2/29/24,0,17,0
8,B,II,1,8.B.II.1,C,10/6/23,2/29/24,0,32,0
8,C,III,3,8.C.III.3,A,10/6/23,2/29/24,0,10,3
8,B,IV,2,8.B.IV.1-2,B,10/6/23,2/29/24,0,18,2
8,B,II,1,8.B.II.1,B,10/6/23,2/29/24,0,26,4
8,B,IV,2,8.B.IV.1-2,C,10/6/23,2/29/24,0,25,0
8,B,II,0,8.B.II.0,C,10/6/23,2/29/24,0,23,0
8,E,IV,0,8.E.IV.0,B,NA,3/6/24,0,27,2
8,D,IV,3,8.D.IV.3,C,10/20/23,3/6/24,9,17,0
8,D,IV,3,8.D.IV.3,A,10/20/23,3/6/24,6,16,0
8,B,IV,0,8.B.IV.0,B,10/20/23,3/6/24,2,14,0
8,D,II,1,8.D.II.1,C,10/20/23,3/6/24,1,24,0
8,D,II,1,8.D.II.1,A,10/20/23,3/6/24,2,19,0
8,D,II,1,8.D.II.1,B,10/20/23,3/6/24,1,28,0
8,D,I,2,8.D.I.2,A,10/20/23,3/6/24,1,22,0
8,D,I,2,8.D.I.2,C,10/20/23,3/6/24,3,14,1
8,D,I,2,8.D.I.2,B,10/20/23,3/6/24,2,21,0
8,D,I,1,8.D.I.1,C,10/20/23,3/6/24,3,15,0
10,C,I,1,10.C.I.1,A,10/6/23,3/6/24,0,18,0
10,B,III,0,10.B.III.0,C,10/6/23,3/6/24,1,13,2
10,D,III,1,10.D.III.1,C,10/6/23,3/6/24,0,8,3
10,D,I,1,10.D.I.1,B,10/6/23,3/6/24,0,8,2
10,D,I,2,10.D.I.2,B,10/6/23,3/6/24,0,17,0
10,D,I,1,10.D.I.1,A,10/6/23,3/6/24,0,11,2
10,D,III,1,10.D.III.1,B,10/1/24,3/6/24,0,15,4
10,E,IV,1,10.E.IV.1,B,10/6/23,3/6/24,0,28,0
10,C,I,1,10.C.I.1,C,10/6/23,3/6/24,0,18,0
10,E,III,0,10.E.III.0,C,10/6/23,3/6/24,0,24,0
10,D,III,1,10.D.III.1,A,10/6/23,3/6/24,0,23,0
10,E,III,0,10.E.III.0,A,10/6/23,3/6/24,0,26,0
10,B,III,0,10.B.III.0,B,10/6/23,3/6/24,0,19,2
10,E,IV,2,10.E.IV.2,A,10/6/23,3/6/24,0,30,0
10,B,III,2,10.B.III.2,C,10/6/23,3/6/24,0,8,3
10,B,III,2,10.B.III.2,B,10/6/23,3/6/24,0,20,0
10,E,IV,2,10.E.IV.2,B,10/6/23,3/6/24,0,27,0
10,C,I,1,10.C.I.1,B,10/6/23,3/6/24,5,19,0
10,B,III,2,10.B.III.2,A,10/6/23,3/6/24,0,18,1
10,B,II,3,10.B.II.3,B,10/6/23,3/6/24,1,17,1
10,B,I,2,10.B.I.2,C,10/6/23,3/6/24,0,19,2
10,D,IV,1,10.D.IV.1,B,10/19/23,3/7/24,0,17,0
10,D,I,1,10.D.I.1,C,10/19/23,3/7/24,0,13,3
10,D,IV,1,10.D.IV.1,A,10/19/23,3/7/24,0,12,5
10,E,I,0,10.E.I.0,C,10/19/23,3/7/24,0,23,0
10,D,IV,1,10.D.IV.1,C,10/19/23,3/7/24,1,18,1
10,D,I,2,10.D.I.2,C,10/19/23,3/7/24,0,15,2
10,E,IV,1,10.E.IV.1,A,9/26/23,3/7/24,0,29,0
10,D,I,3,10.D.I.3,C,9/26/23,3/7/24,0,20,1
10,D,I,3,10.D.I.3,B,9/26/23,3/7/24,0,29,0
10,D,I,3,10.D.I.3,A,9/26/23,3/7/24,0,14,2
10,B,I,0,10.B.I.0,C,10/6/23,3/7/24,0,12,3
10,B,III,0,10.B.III.0,A,10/6/23,3/7/24,0,19,0
10,B,I,2,10.B.I.2,A,10/6/23,3/7/24,0,17,2
10,B,II,3,10.B.II.3,C,10/6/23,3/7/24,0,23,0
10,B,II,0,10.B.II.0,B,10/6/23,3/7/24,0,23,0
10,B,I,0,10.B.I.0,B,10/6/23,3/7/24,0,13,0
10,B,I,0,10.B.I.0,A,10/6/23,3/7/24,0,13,1
10,B,I,2,10.B.I.2,B,10/6/23,3/7/24,0,19,0
10,B,II,0,10.B.II.0,C,10/6/23,3/7/24,0,22,0
10,B,II,3,10.B.II.3,A,10/6/23,3/7/24,0,12,3
10,D,I,2,10.D.I.2,A,10/6/23,3/7/24,0,13,0
10,E,III,0,10.E.III.0,B,10/6/23,3/7/24,0,22,0
10,E,IV,1,10.E.IV.1,C,10/6/23,3/7/24,0,18,0