Block,Patch,Type
8,A,Center
8,B,Connected
8,C,Winged
8,D,Rectangular
8,E,Winged
10,A,Center
10,B,Connected
10,C,Rectangular
10,D,Winged
10,E,Rectangular
52,A,Center
52,B,Connected
52,C,Winged
52,D,Rectangular
52,E,Winged
53N,A,Center
53N,B,Connected
53N,C,Winged
53N,D,Rectangular
53N,E,Winged
53S,A,Center
53S,B,Connected
53S,C,Winged
53S,D,Rectangular
53S,E,Winged
54S,A,Center
54S,B,Connected
54S,C,Rectangular
54S,D,Winged
54S,E,Rectangular
57,A,Center
57,B,Connected
57,C,Rectangular
57,D,Winged
57,E,Rectangular